system:index,area_mode,carbon_type,cv_used,lc_product,sampling_type,strata,stratification_method,wetland_override,.geo
0,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.95981158175196,49.2128104517976]}"
1,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.92342981274513,49.1548691159719]}"
2,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93663504742169,49.18181857449548]}"
3,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94040797161499,49.19178987414921]}"
4,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94391140122305,49.166726877722276]}"
5,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94391140122305,49.185052509518314]}"
6,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93959948785928,49.20283915214388]}"
7,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.92289082357466,49.154330126801426]}"
8,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94364190663782,49.178315144887414]}"
9,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94337241205258,49.18181857449548]}"
10,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.92235183440418,49.15783355640949]}"
11,small,soil,0.3,ESRI_10m_2024,stratified_random,2,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.96169804384861,49.215774892235196]}"
12,small,soil,0.3,ESRI_10m_2024,stratified_random,4,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.9382520149331,49.214157924723786]}"
13,small,soil,0.3,ESRI_10m_2024,stratified_random,4,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.9096855888981,49.1624149643585]}"
14,small,soil,0.3,ESRI_10m_2024,stratified_random,4,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.9126500293357,49.16807435064845]}"
15,small,soil,0.3,ESRI_10m_2024,stratified_random,4,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.9096855888981,49.16537940479609]}"
16,small,soil,0.3,ESRI_10m_2024,stratified_random,4,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.91399750226188,49.16969131815987]}"
17,small,soil,0.3,ESRI_10m_2024,stratified_random,6,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93313161781361,49.16807435064845]}"
18,small,soil,0.3,ESRI_10m_2024,stratified_random,6,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93852150951834,49.216044386820435]}"
19,small,soil,0.3,ESRI_10m_2024,stratified_random,6,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93636555283645,49.170499801915575]}"
20,small,soil,0.3,ESRI_10m_2024,stratified_random,6,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.94768432541636,49.21038500053048]}"
21,small,soil,0.3,ESRI_10m_2024,stratified_random,6,Land cover map (ESA CCI / ESRI 10m),GWL_FCS30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.93609605825121,49.16484041562562]}"
